name,date
ON014688_2021,2021
AY502115_2004,2004
O435323_2022,2022
O452191_2021,2021
ON924737_2021,2021
ON924738_2021,2021
ON924739_2021,2021
MZ577027_2020,2020
DQ675456_2006,2006
O435324_2022,2022
KY994646_2016,2016
FJ853421_2008,2008
AY684869_2002,2002
AY390557_2003,2003
JQ249913_2011,2011
JQ249914_2011,2011
JQ249915_2011,2011
JQ249916_2011,2011
JQ249917_2011,2011
JQ249918_2011,2011
JQ249919_2011,2011
JQ249920_2011,2011
JQ249921_2011,2011
JQ249922_2011,2011
JQ249923_2011,2011
JQ249924_2011,2011
JQ249925_2011,2011
JQ249926_2011,2011
JN860197_2012,2012
O435325_2021,2021
EU790642_2004,2004
DQ464345_2006,2006
